Reaction,Pvalue,Padj,Reject,FC
DESAT20_1,9.364276095385904e-134,2.155328276471382e-133,True,1.0
HMR_6817,0.0,0.0,True,1.0
OCD11CRNCACT,6.183326794894121e-225,1.895099111824675e-224,True,-1.0
FAOXC163Gm,2.9089608070302393e-118,6.427794241778734e-118,True,-1.0
HMR_2762,4.511451170861682e-173,1.1802278509486365e-172,True,-1.0
HMR_6571,0.0,0.0,True,-1.0
HMR_8448,0.0,0.0,True,7.32963765326585
HMR_7849,4.703117298365724e-300,1.7012510721248852e-299,True,-0.850778624030722
HMR_5548,0.0,0.0,True,3.524828585771648
HMR_6572,0.0,0.0,True,-1.0
HMR_0195,0.0,0.0,True,1.0
HMR_3947,0.0,0.0,True,-0.9509483322432961
HMR_3340,3.693602688457747e-148,8.892568510420049e-148,True,-0.8421052631578964
EX_M00341[e],5.361897950605834e-295,1.906597208164453e-294,True,-1.0
HMR_0385,3.881265517447761e-287,1.3538223769192786e-286,True,1.0
HMR_0249,0.0,0.0,True,-1.0
HC02195te,8.139997120669827e-154,1.9924972066468334e-153,True,-1.0
r1451,0.0,0.0,True,1.0
HMR_6545,0.0,0.0,True,1.0
HMR_7639,0.0,0.0,True,1.0
C05463t1,0.0,0.0,True,-1.0
HMR_0395,1.2396359437316483e-194,3.3881840626247476e-194,True,-1.0
EX_CE7096[e],2.693817332366666e-21,3.642309544916628e-21,True,1.0
HMR_5522,0.0,0.0,True,-4.386406640383733
HMR_4570,0.0,0.0,True,9.278803753991928
TUDCA3St,0.0,0.0,True,1.0
HMR_9411,2.6878632345938e-310,1.001964284651376e-309,True,-0.9761230769230769
HMR_9296,2.1996385964232356e-279,7.546769423325622e-279,True,-1.0
HMR_0669,0.0,0.0,True,-1.0
HMR_7682,0.0,0.0,True,-1.2078570655910044
HMR_3176,0.0,0.0,True,1.0
HMR_4081,0.0,0.0,True,-1.0
HMR_0643,4.2783873670301815e-250,1.4022007813644779e-249,True,1.0
HMR_2646,1.721716549781651e-206,4.916792876082103e-206,True,-4.966063348416306
HMR_4863,0.0,0.0,True,2.7851716785533878
HMR_8468,0.0,0.0,True,-1.4453120400003099
HMR_3873,0.0,0.0,True,1.0
HMR_2862,2.1966264015620274e-38,3.501694970934125e-38,True,-1.0
THCHOLSTOICATP,0.0,0.0,True,-0.9934516093188638
HMR_2294,5.361897950605834e-295,1.906597208164453e-294,True,-1.0
r1147,0.0,0.0,True,-1.966492342958448
HMR_3326,8.139997120669827e-154,1.9924972066468334e-153,True,-0.859116022099449
HMR_8460,0.0,0.0,True,0.8299997962840181
HMR_0212,1.5559281741512401e-232,4.8653890611132695e-232,True,1.0
PCHOLSTE_HSt1e,0.0,0.0,True,-1.0
HMR_6313,0.0,0.0,True,-0.983591068374535
HMR_5468,0.0,0.0,True,-1.2333232630966926
HMR_8734,0.0,0.0,True,1.5064184291652276
HMR_2605,3.2232151578221254e-27,4.670633240563218e-27,True,1.1225296442687744
HMR_5467,0.0,0.0,True,2.0239393508404655
HMR_3087,3.1102585512326516e-162,7.822367000095854e-162,True,-0.8438761776581444
HMR_3286,1.2441556215016296e-119,2.7595578887204954e-119,True,-1.0
r0633,0.0,0.0,True,-0.8575204217653811
HMR_4706,0.0,0.0,True,1.0
HMR_3330,1.060469383496167e-161,2.6557053791831617e-161,True,-0.8276762402088793
HMR_4524,0.0,0.0,True,1.0
EX_dlnlcg[e],6.102968739149769e-212,1.7722198618145513e-211,True,1.0
HMR_2522,0.0,0.0,True,-1.0
HMR_4971,1.6471512100150677e-209,4.726888389171546e-209,True,2.7539527322970434
SPHMYLN18114_hs_ATPt,0.0,0.0,True,1.0
HMR_0321,0.0,0.0,True,-1.0
HMR_8467,0.0,0.0,True,-1.1893151970569527
HMR_7867,0.0,0.0,True,-2.450042011356104
HMR_5483,0.0,0.0,True,2.742938183627521
HMR_3284,1.5062867610437948e-120,3.348573755583323e-120,True,-1.0
HMR_0247,0.0,0.0,True,-1.0
FAOXC103C102m,4.9707974966276805e-102,1.0410605193080131e-101,True,-1.0
EX_strdnc[e],4.511451170861682e-173,1.1802278509486365e-172,True,-0.9104037724727382
HMR_0373,8.720695710540648e-281,3.002542706449365e-280,True,-1.0
HMR_3338,1.800908782951491e-157,4.4566408226755645e-157,True,-0.8344459279038736
HMR_5565,0.0,0.0,True,-1.033915878669658
HMR_5518,0.0,0.0,True,-10.687271123107603
HMR_4588,0.0,0.0,True,3.281818818929555
HMR_3946,7.8667411316267e-185,2.106905988634939e-184,True,4.863211810786395
HMR_0371,0.0,0.0,True,1.0
OCD11CRNCPT2,1.836439568679877e-217,5.418698828028854e-217,True,-1.0
HMR_5569,0.0,0.0,True,34.12164043564809
FAOXC101C8m,0.0,0.0,True,-1.0
HMR_7888,0.0,0.0,True,-1.1201468280143057
HMR_3327,5.36805110396612e-158,1.3295342125630373e-157,True,-0.8467741935483888
HMR_4586,0.0,0.0,True,-3.344016006936228
HMR_5480,0.0,0.0,True,-0.8969500940274485
HMR_6031,0.0,0.0,True,-6.764081246658138
FAOXC102m,3.741840156429818e-104,7.876143432715063e-104,True,-1.0
HMR_0598,0.0,0.0,True,-0.9679238107835518
HMR_3099,0.0,0.0,True,0.9907801418439718
HMR_2604,1.0940975515627727e-187,2.949131394736821e-187,True,-8.133658536585228
HMR_3033,9.418535760731084e-255,3.12528989569064e-254,True,-0.8860544217687091
HMR_3908,0.0,0.0,True,-1.0
HMR_4855,0.0,0.0,True,6.560945990158078
HMR_6549,0.0,0.0,True,1.0
HMR_2515,1.3378606644311968e-283,4.633489062391734e-283,True,-0.8643122676579931
HMR_4784,0.0,0.0,True,-0.9727871229098449
HMR_9578,0.0,0.0,True,-1.0
C60CPT1,0.0,0.0,True,1.0
HMR_3787,7.603211866937167e-217,2.2366878283258937e-216,True,-0.9399085564990204
7KILTCHOLATP,0.0,0.0,True,-1.0
HMR_8667,0.0,0.0,True,0.8574552866587947
HMR_4304,1.8753479262928454e-05,2.0434248508881016e-05,True,1.0
HMR_4481,9.701969864e-315,3.672709522e-314,True,1.0
HMR_2678,1.73162967801311e-21,2.3500115593230258e-21,True,-8.404878048780635
HMR_5485,0.0,0.0,True,-2.487829767563055
PCHOLN19_HSt1e,0.0,0.0,True,-1.0
HMR_3146,0.0,0.0,True,-0.9231809981960314
HMR_5540,0.0,0.0,True,-4.500168926279817
PCHOLN15_HSABCt,0.0,0.0,True,-1.0
HMR_8741,0.0,0.0,True,-29.330698826280646
HMR_6625,0.0,0.0,True,1.0
HMR_0681,0.0,0.0,True,-1.0
RE3122R,3.312911846544514e-29,4.8925563056327753e-29,True,1.0
HMR_3056,4.693863844486989e-23,6.493399935952255e-23,True,-1.0
HMR_3279,2.0143404317306776e-112,4.352520254403308e-112,True,-1.0
HMR_6015,0.0,0.0,True,3.219482712536567
HMR_3156,4.9110960529e-311,1.8330587815283e-310,True,1.0
HMR_5516,0.0,0.0,True,-1.5642263924428892
EX_tetpent3[e],0.0,0.0,True,1.0
HMR_6021,0.0,0.0,True,0.8550457531316097
HMR_8500,0.0,0.0,True,-0.8723554457411371
HMR_3813,0.0,0.0,True,-1.0
CE1273t2,0.0,0.0,True,-1.0
HMR_3057,6.923646072652829e-306,2.5453303629702373e-305,True,1.0
HMR_0646,8.37127037020693e-261,2.7967870222014027e-260,True,1.0
HMR_5479,0.0,0.0,True,-1.1908432096351327
HMR_3288,8.905032323973981e-110,1.9128845094755125e-109,True,-1.0
HMR_0402,0.0,0.0,True,-1.0
EX_tmndnc[e],2.662102164727056e-25,3.7680963007972336e-25,True,-1.0
HMR_4079,2.56781496791256e-238,8.213643947580568e-238,True,1.0
FAOXC6C4m,2.173158825758261e-196,5.967530796130932e-196,True,-1.0
HMR_2673,0.0,0.0,True,3.7148118115926385
HMR_2603,2.917919596816749e-188,7.872471840398778e-188,True,13.2056074766353
HMR_6587,0.0,0.0,True,1.0
HMR_0358,0.0,0.0,True,1.0
HMR_3149,0.021361814881110282,0.02211664932920605,True,-1.0
HMR_3139,0.0,0.0,True,-0.9562022890252367
HMR_5543,0.0,0.0,True,0.9817019461101776
HMR_1870,0.0,0.0,True,1.0
HMR_9811,0.0,0.0,True,-1.0
RE3120R,6.459252869534608e-33,9.872514818850635e-33,True,1.0
HMR_4727,0.0,0.0,True,1.0
HMR_2410,3.1102585512326516e-162,7.822367000095854e-162,True,-1.0
HMR_5529,0.0,0.0,True,-2.022839030933305
HMR_7724,6.9970120500422546e-298,2.512407513066643e-297,True,0.8416670758137942
RE1957R,6.01648148544792e-16,7.621396780096154e-16,True,1.0
HMR_5463,0.0,0.0,True,4.72826133685318
HMR_5520,0.0,0.0,True,-7.749083003445087
HMR_5474,0.0,0.0,True,1.5164673062990217
HMR_6005,0.0,0.0,True,-1.5458419129412213
SPHMYLN181201_hs_ATPt,0.0,0.0,True,-1.0
HMR_5525,0.0,0.0,True,1.5784941422308385
HMR_0240,2.926029338908267e-240,9.410829816686304e-240,True,1.0
HMR_8767,0.0,0.0,True,0.9320135657386233
FAOXC2252053m,3.6084563448872e-161,9.013450205046458e-161,True,-1.0
HMR_3336,7.752140614165727e-164,1.963160933405841e-163,True,-0.8569500674763848
HMR_5074,3.881451800604576e-246,1.2650337904083882e-245,True,-4.6537869305655
HMR_1526,6.9970120500422546e-298,2.512407513066643e-297,True,1.0
HMR_4710,0.0,0.0,True,0.8459206231585571
HMR_2684,0.0,0.0,True,1.0
HMR_5458,0.0,0.0,True,4.217363074077772
HMR_4206,0.0,0.0,True,-0.8421363939542671
HMR_1868,0.0,0.0,True,-0.9363180210428709
PCHOLHEP_HSABCt,4.2737166379402806e-235,1.353728621531354e-234,True,1.0
HMR_3223,0.0,0.0,True,1.0
EX_docosac[e],0.0,0.0,True,-1.0
HMR_6314,0.0,0.0,True,-0.984299073989181
HMR_2505,1.4718043933278214e-288,5.1521945907413586e-288,True,1.0
HMR_0393,1.2396359437316483e-194,3.3881840626247476e-194,True,1.0
PCHOLN203_HSt1e,0.0,0.0,True,1.0
HMR_4302,0.0,0.0,True,1.0
HMR_3290,3.4703491227978846e-125,7.797640283587272e-125,True,-1.0
HMR_7864,0.0,0.0,True,-48.60549931298594
EX_crvnc[e],4.26797014522316e-36,6.68367318305925e-36,True,1.0
HMR_2368,0.0,0.0,True,0.9926226484691995
OCD11COACPT1,6.125078079917885e-220,1.8312733443021884e-219,True,-1.0
HMR_2620,1.8973257558370137e-165,4.838263241603525e-165,True,1.3439567047504517
HMR_6036,0.0,0.0,True,-1.1069111627114998
THYOCHOLabc,0.0,0.0,True,-1.0
HMR_0591,0.0,0.0,True,-1.0
HMR_0960,4.544077478507268e-22,6.218658109307004e-22,True,1.0
HMR_0318,0.0,0.0,True,-1.0
HMR_4914,5.327162982877407e-53,9.186926156463097e-53,True,1.9122927136634913
HMR_3143,0.0,0.0,True,-0.9289309189905613
HC02196te,0.0,0.0,True,1.0
HMR_0158,2.1428835192664145e-45,3.577577613362162e-45,True,1.7408605250043212
HMR_2623,3.0439906094255994e-19,3.9977106614151204e-19,True,1.822281167108757
NADPQNOXR,0.0,0.0,True,-0.9999940450718258
HMR_1872,0.0,0.0,True,-1.0
HMR_7830,0.0,0.0,True,-0.9464215912447579
FAOXC163C164Gm,2.4404981457959397e-109,5.238578437496046e-109,True,-1.0
HMR_2259,2.857399629770014e-289,1.0014570472758543e-288,True,0.8984771573604066
LCAT1e,1.9055359118762354e-16,2.419072886394008e-16,True,1.0
FAOXC1811603m,0.02443690642416396,0.02527360953858115,True,1.0
G3PD2m,0.0,0.0,True,1.0
EX_xoldiolone[e],1.2080326613814138e-06,1.3494226831290668e-06,True,-1.0
HMR_5490,0.0,0.0,True,0.8792759607738043
3DHCHOLt2,0.0,0.0,True,-1.0
HMR_6512,0.0,0.0,True,1.0
EX_hdcea[e],0.0,0.0,True,-1.0
HMR_7162,0.0,0.0,True,-0.9989549629212805
PCHOLPALME-HSABCt,0.0,0.0,True,-1.0
HMR_2269,7.421132361628831e-23,1.024689812420946e-22,True,-1.0
HMR_5484,0.0,0.0,True,-1.068288578637655
HMR_7804,0.0,0.0,True,-70.3989273635511
HMR_1656,0.0,0.0,True,1.0
HMR_6012,0.0,0.0,True,-8.945284687424612
HMR_3060,5.363894959e-314,2.02267853663e-313,True,1.0
HMR_5489,0.0,0.0,True,-8.709833825533261
SPHMYLN18123_hs_t1,0.0,0.0,True,-1.0
HMR_0167,0.0,0.0,True,1.0
HMR_3337,4.105259824659832e-141,9.684711180558219e-141,True,-0.831697054698459
PCHOLN201_HSABCt,0.0,0.0,True,1.0
HMR_10125,0.0,0.0,True,-1.0
HMR_1969,0.0,0.0,True,1.0
HMR_6064,9.959605915948879e-175,2.6242486810908465e-174,True,-1.0
PELPALM_HSABCt,0.0,0.0,True,1.0
HMR_8469,0.0,0.0,True,-1.30747473690134
HMR_5475,0.0,0.0,True,2.3011717941744574
HMR_2720,2.003660895293705e-39,3.225673858906898e-39,True,1.917098445595847
HMR_0671,0.0,0.0,True,-1.0
HMR_5983,0.0,0.0,True,0.9479995269133407
HMR_3058,9.701969864e-315,3.672709522e-314,True,1.0
TCHOLAte,0.0,0.0,True,1.0
HMR_3343,1.0604693834962874e-161,2.6557053791831617e-161,True,-0.8635743519781734
HMR_3150,0.0,0.0,True,-0.8511379311914697
HMR_5946,0.0,0.0,True,-0.928193525697851
r0735,0.0,0.0,True,-1.1886073018942431
HMR_5580,0.0,0.0,True,1.4351344525779053
HMR_4497,2.6668072885471537e-202,7.498795926528945e-202,True,0.9126819126819131
HMR_4207,0.0,0.0,True,-1.0
HMR_4131,1.466775696490559e-241,4.75404069769617e-241,True,4.41311580002735
HMR_5524,0.0,0.0,True,3.959404607724218
HMR_4741,3.141515612073101e-216,9.232337756644119e-216,True,0.8942082356879819
HMR_2411,4.15272463900547e-160,1.034649931316839e-159,True,-1.0
DESAT18_9,0.0015933594746154558,0.0016829644054157482,True,1.0
PCHOLAR_HSt1e,0.0,0.0,True,-1.0
XOLDIOLONEATP,2.3260713450148163e-05,2.5317195545666463e-05,True,-1.0
HMR_3153,0.0,0.0,True,-0.8468137603795964
HMR_2501,0.0,0.0,True,1.0
